ons_code,numberofprovs,main_provider
E06000001,1,ATOS
E06000002,1,ATOS
E06000003,1,ATOS
E06000004,1,ATOS
E06000005,1,ATOS
E06000006,1,ATOS
E06000007,1,ATOS
E06000008,1,ATOS
E06000009,1,ATOS
E06000010,1,ATOS
E06000011,1,ATOS
E06000012,2,ATOS
E06000013,2,ATOS
E06000014,1,ATOS
E06000015,1,Capita
E06000016,1,Capita
E06000017,1,Capita
E06000018,1,Capita
E06000019,2,Capita
E06000020,1,Capita
E06000021,1,Capita
E06000022,1,ATOS
E06000023,1,ATOS
E06000024,1,ATOS
E06000025,1,ATOS
E06000026,1,ATOS
E06000027,1,ATOS
E06000030,1,ATOS
E06000031,2,Capita
E06000032,1,ATOS
E06000033,1,ATOS
E06000034,1,ATOS
E06000035,1,ATOS
E06000036,1,ATOS
E06000037,1,ATOS
E06000038,1,ATOS
E06000039,1,ATOS
E06000040,1,ATOS
E06000041,1,ATOS
E06000042,2,ATOS
E06000043,1,ATOS
E06000044,1,ATOS
E06000045,1,ATOS
E06000046,1,ATOS
E06000047,1,ATOS
E06000049,2,ATOS
E06000050,2,ATOS
E06000051,2,Capita
E06000052,1,ATOS
E06000053,1,ATOS
E06000054,1,ATOS
E06000055,2,ATOS
E06000056,2,ATOS
E06000057,1,ATOS
E06000058,1,ATOS
E06000059,1,ATOS
E07000004,2,ATOS
E07000005,1,ATOS
E07000006,1,ATOS
E07000007,1,ATOS
E07000008,1,ATOS
E07000009,2,ATOS
E07000010,2,Capita
E07000011,2,Capita
E07000012,2,ATOS
E07000026,1,ATOS
E07000027,1,ATOS
E07000028,1,ATOS
E07000029,1,ATOS
E07000030,1,ATOS
E07000031,1,ATOS
E07000032,2,Capita
E07000033,2,ATOS
E07000034,1,ATOS
E07000035,2,Capita
E07000036,1,Capita
E07000037,1,ATOS
E07000038,2,ATOS
E07000039,1,Capita
E07000040,1,ATOS
E07000041,1,ATOS
E07000042,1,ATOS
E07000043,1,ATOS
E07000044,1,ATOS
E07000045,1,ATOS
E07000046,1,ATOS
E07000047,1,ATOS
E07000061,1,ATOS
E07000062,1,ATOS
E07000063,1,ATOS
E07000064,1,ATOS
E07000065,1,ATOS
E07000066,1,ATOS
E07000067,1,ATOS
E07000068,1,ATOS
E07000069,1,ATOS
E07000070,1,ATOS
E07000071,1,ATOS
E07000072,1,ATOS
E07000073,1,ATOS
E07000074,1,ATOS
E07000075,1,ATOS
E07000076,1,ATOS
E07000077,1,ATOS
E07000078,1,ATOS
E07000079,2,ATOS
E07000080,2,ATOS
E07000081,1,ATOS
E07000082,1,ATOS
E07000083,2,ATOS
E07000084,1,ATOS
E07000085,1,ATOS
E07000086,1,ATOS
E07000087,1,ATOS
E07000088,1,ATOS
E07000089,1,ATOS
E07000090,1,ATOS
E07000091,1,ATOS
E07000092,1,ATOS
E07000093,1,ATOS
E07000094,1,ATOS
E07000095,1,ATOS
E07000096,1,ATOS
E07000098,1,ATOS
E07000099,1,ATOS
E07000102,1,ATOS
E07000103,1,ATOS
E07000105,1,ATOS
E07000106,1,ATOS
E07000107,1,ATOS
E07000108,1,ATOS
E07000109,1,ATOS
E07000110,1,ATOS
E07000111,1,ATOS
E07000112,1,ATOS
E07000113,1,ATOS
E07000114,1,ATOS
E07000115,1,ATOS
E07000116,1,ATOS
E07000117,1,ATOS
E07000118,1,ATOS
E07000119,1,ATOS
E07000120,1,ATOS
E07000121,1,ATOS
E07000122,1,ATOS
E07000123,1,ATOS
E07000124,1,ATOS
E07000125,1,ATOS
E07000126,1,ATOS
E07000127,1,ATOS
E07000128,1,ATOS
E07000129,1,Capita
E07000130,1,Capita
E07000131,1,Capita
E07000132,1,Capita
E07000133,1,Capita
E07000134,1,Capita
E07000135,1,Capita
E07000136,1,Capita
E07000137,2,Capita
E07000138,1,Capita
E07000139,1,Capita
E07000140,1,Capita
E07000141,1,Capita
E07000142,2,Capita
E07000143,2,ATOS
E07000144,1,ATOS
E07000145,1,ATOS
E07000146,2,Capita
E07000147,2,ATOS
E07000148,1,ATOS
E07000149,1,ATOS
E07000150,1,Capita
E07000151,1,Capita
E07000152,1,Capita
E07000153,1,Capita
E07000154,1,Capita
E07000155,2,Capita
E07000156,1,Capita
E07000163,1,ATOS
E07000164,1,ATOS
E07000165,1,ATOS
E07000166,1,ATOS
E07000167,1,ATOS
E07000168,1,ATOS
E07000169,1,ATOS
E07000170,1,Capita
E07000171,2,ATOS
E07000172,1,Capita
E07000173,1,Capita
E07000174,1,Capita
E07000175,1,Capita
E07000176,1,Capita
E07000177,2,ATOS
E07000178,1,ATOS
E07000179,1,ATOS
E07000180,1,ATOS
E07000181,1,ATOS
E07000187,1,ATOS
E07000188,1,ATOS
E07000189,1,ATOS
E07000192,1,Capita
E07000193,1,Capita
E07000194,1,Capita
E07000195,2,Capita
E07000196,1,Capita
E07000197,1,Capita
E07000198,2,Capita
E07000199,1,Capita
E07000200,1,ATOS
E07000202,1,ATOS
E07000203,1,ATOS
E07000207,1,ATOS
E07000208,1,ATOS
E07000209,1,ATOS
E07000210,1,ATOS
E07000211,1,ATOS
E07000212,1,ATOS
E07000213,1,ATOS
E07000214,1,ATOS
E07000215,1,ATOS
E07000216,1,ATOS
E07000217,1,ATOS
E07000218,1,Capita
E07000219,1,Capita
E07000220,1,Capita
E07000221,2,Capita
E07000222,1,Capita
E07000223,1,ATOS
E07000224,1,ATOS
E07000225,1,ATOS
E07000226,1,ATOS
E07000227,1,ATOS
E07000228,1,ATOS
E07000229,1,ATOS
E07000234,1,Capita
E07000235,2,Capita
E07000236,1,Capita
E07000237,1,Capita
E07000238,2,Capita
E07000239,1,Capita
E07000240,1,ATOS
E07000241,1,ATOS
E07000242,1,ATOS
E07000243,1,ATOS
E07000244,1,ATOS
E07000245,1,ATOS
E07000246,1,ATOS
E08000001,1,ATOS
E08000002,1,ATOS
E08000003,1,ATOS
E08000004,1,ATOS
E08000005,1,ATOS
E08000006,1,ATOS
E08000007,1,ATOS
E08000008,1,ATOS
E08000009,1,ATOS
E08000010,1,ATOS
E08000011,1,ATOS
E08000012,1,ATOS
E08000013,1,ATOS
E08000014,1,ATOS
E08000015,2,ATOS
E08000016,1,ATOS
E08000017,1,ATOS
E08000018,1,ATOS
E08000019,1,ATOS
E08000021,1,ATOS
E08000022,1,ATOS
E08000023,1,ATOS
E08000024,1,ATOS
E08000025,1,Capita
E08000026,1,Capita
E08000027,1,Capita
E08000028,1,Capita
E08000029,1,Capita
E08000030,1,Capita
E08000031,1,Capita
E08000032,1,ATOS
E08000033,1,ATOS
E08000034,1,ATOS
E08000035,1,ATOS
E08000036,1,ATOS
E08000037,1,ATOS
E09000001,1,ATOS
E09000002,1,ATOS
E09000003,1,ATOS
E09000004,1,ATOS
E09000005,1,ATOS
E09000006,1,ATOS
E09000007,1,ATOS
E09000008,1,ATOS
E09000009,1,ATOS
E09000010,1,ATOS
E09000011,1,ATOS
E09000012,1,ATOS
E09000013,1,ATOS
E09000014,1,ATOS
